"","county","population","biden","trump","age65","white","black","hispa","high","coll","lpop","propage","propwhi","prophis","propbla","propbid","proptru","prophig","propcol"
"1","Alachua FL",278475,25,13,11,29,4,2,5,21,5.44478621261786,3.95008528593231e-05,0.00010413861208367,0.367323880479487,0.734647760958974,8.97746655893707e-05,4.66828261064728e-05,1.79549331178741e-05,7.54107190950714e-05
"2","Baker FL",28263,1,2,2,3,0,0,1,2,4.45121825851379,7.07638962601281e-05,0.000106145844390192,0,0,3.5381948130064e-05,7.07638962601281e-05,3.5381948130064e-05,7.07638962601281e-05
"3","Bay FL",175204,9,13,5,18,0,2,2,16,5.243544017118,2.85381612291957e-05,0.000102737380425104,0.381421419076645,0,5.13686902125522e-05,7.41992191959088e-05,1.14152644916783e-05,9.13221159334262e-05
"4","Bradford FL",28306,0,2,0,2,0,0,1,1,4.4518785023335,0,7.06563979368332e-05,0,0,0,7.06563979368332e-05,3.53281989684166e-05,3.53281989684166e-05
"5","Brevard FL",606603,64,64,45,108,11,3,27,78,5.78290455381544,7.41836093787864e-05,0.000178040662509087,0.518770450399474,1.9021583181314,0.000105505577783163,0.000105505577783163,4.45101656272719e-05,0.00012858492292323
"6","Broward FL",1944376,198,72,90,180,35,39,58,164,6.28878025181215,4.6287343600209e-05,9.2574687200418e-05,6.20152055539895,5.56546716510162,0.00010183215592046,3.70298748801672e-05,2.98296214312458e-05,8.43458261159364e-05
"7","Calhoun FL",13644,1,1,1,1,1,0,1,0,4.13494171073536,7.32922896511287e-05,7.32922896511287e-05,0,0.241841377691914,7.32922896511287e-05,7.32922896511287e-05,7.32922896511287e-05,0
"8","Charlotte FL",186850,15,25,13,33,3,1,9,25,5.27149310218566,6.95745250200696e-05,0.000176612255820177,0.189699574791321,0.569098724373963,8.02782981000803e-05,0.000133797163500134,4.81669788600482e-05,0.000133797163500134
"9","Citrus FL",153855,10,28,14,37,0,0,13,20,5.18711161457194,9.09947678008515e-05,0.000240486172045107,0,0,6.49962627148939e-05,0.000181989535601703,8.44951415293621e-05,0.000129992525429788
"10","Clay FL",218250,12,21,15,24,4,3,7,13,5.33895425237761,6.87285223367698e-05,0.000109965635738832,0.561907792834899,0.749210390446532,5.49828178694158e-05,9.62199312714777e-05,3.20733104238259e-05,5.95647193585338e-05
"11","Collier FL",375760,19,16,17,30,1,4,6,23,5.57491054717519,4.52416436022993e-05,7.9838194592293e-05,0.71750030178095,0.179375075445237,5.05641899084522e-05,4.25803704492229e-05,1.59676389184586e-05,6.12092825207579e-05
"12","Columbia FL",69701,7,9,5,15,0,1,3,11,4.8432390089641,7.17349822814594e-05,0.000215204946844378,0.206473394798223,0,0.000100428975194043,0.000129122968106627,4.30409893688756e-05,0.000157816961019211
"13","DeSoto FL",33975,2,2,2,3,0,0,1,2,4.53115946540453,5.88668138337013e-05,8.83002207505519e-05,0,0,5.88668138337013e-05,5.88668138337013e-05,2.94334069168506e-05,5.88668138337013e-05
"14","Dixie FL",16758,1,3,1,4,0,0,2,2,4.22422218608465,5.96729920038191e-05,0.000238691968015276,0,0,5.96729920038191e-05,0.000179018976011457,0.000119345984007638,0.000119345984007638
"15","Duval FL",995560,84,74,32,110,36,5,41,98,5.99806743903312,3.21427136485998e-05,0.000110490578167062,0.833601831060104,6.00193318363275,8.43746233275744e-05,7.4330025312387e-05,4.11828518622685e-05,9.84370605488368e-05
"16","Escambia FL",321897,20,20,12,35,3,2,9,26,5.50771692918789,3.7279005396136e-05,0.000108730432405397,0.363126868303833,0.544690302455749,6.21316756602267e-05,6.21316756602267e-05,2.7959254047102e-05,8.07711783582947e-05
"17","Flagler FL",115383,12,15,11,20,3,3,5,19,5.06214182658354,9.53346680186856e-05,0.000173335760033974,0.59263452166545,0.59263452166545,0.000104001456020384,0.00013000182002548,4.33339400084935e-05,0.000164668972032275
"18","Franklin FL",12452,NA,NA,NA,NA,NA,NA,NA,NA,4.09523911201048,NA,NA,NA,NA,NA,NA,NA,NA
"19","Gadsden FL",43820,2,1,1,1,2,0,1,1,4.64167237322469,2.28206298493838e-05,2.28206298493838e-05,0,0.430879183015356,4.56412596987677e-05,2.28206298493838e-05,2.28206298493838e-05,2.28206298493838e-05
"20","Gilchrist FL",17862,1,1,0,2,0,0,0,2,4.25193008503037,0,0.000111969544283955,0,0,5.59847721419774e-05,5.59847721419774e-05,0,0.000111969544283955
"21","Glades FL",12127,NA,NA,NA,NA,NA,NA,NA,NA,4.08375337757001,NA,NA,NA,NA,NA,NA,NA,NA
"22","Gulf FL",14200,NA,NA,NA,NA,NA,NA,NA,NA,4.15228834438306,NA,NA,NA,NA,NA,NA,NA,NA
"23","Hamilton FL",14006,1,0,0,0,1,0,0,1,4.14631412201197,0,0,0,0.241178060941209,7.13979722975867e-05,0,0,7.13979722975867e-05
"24","Hardee FL",25326,0,2,1,2,0,0,0,2,4.40356660253805,3.94851141119798e-05,7.89702282239596e-05,0,0,0,7.89702282239596e-05,0,7.89702282239596e-05
"25","Hendry FL",39626,2,2,2,3,1,0,1,1,4.59798023520062,5.04719123807601e-05,7.57078685711402e-05,0,0.217486798299899,5.04719123807601e-05,5.04719123807601e-05,2.52359561903801e-05,2.52359561903801e-05
"26","Hernando FL",194515,21,29,15,46,0,4,20,27,5.28895309751799,7.71148754594761e-05,0.000236485618075727,0.756293339390196,0,0.000107960825643267,0.000149088759221654,0.000102819833945968,0.000138806775827057
"27","Highlands FL",101238,11,17,15,22,4,2,11,13,5.00534355689768,0.000148165708528418,0.00021730970584168,0.399572971818063,0.799145943636126,0.00010865485292084,0.000167921136332207,0.00010865485292084,0.000128410280724629
"28","Hillsborough FL",1459773,146,68,51,134,31,30,37,140,6.16428532666653,3.49369388254201e-05,9.17950941687509e-05,4.86674422259801,5.02896903001794,0.000100015550362967,4.65825851005602e-05,2.53464065988342e-05,9.59053222658591e-05
"29","Holmes FL",19657,0,2,1,1,0,0,0,2,4.29351723766387,5.0872462735921e-05,5.0872462735921e-05,0,0,0,0.000101744925471842,0,0.000101744925471842
"30","Indian River FL",159789,9,14,9,22,0,1,2,15,5.20354687883447,5.63242776411393e-05,0.000137681567567229,0.192176610163256,0,5.63242776411393e-05,8.76155429973277e-05,1.25165061424754e-05,9.38737960685654e-05
"31","Jackson FL",47309,4,2,2,4,2,0,1,4,4.67494376819078,4.22752541799658e-05,8.45505083599315e-05,0,0.427812632444563,8.45505083599315e-05,4.22752541799658e-05,2.11376270899829e-05,8.45505083599315e-05
"32","Jefferson FL",14507,0,3,3,3,0,0,3,0,4.16157761104887,0.000206796718825395,0.000206796718825395,0,0,0,0.000206796718825395,0.000206796718825395,0
"33","Lafayette FL",8225,NA,NA,NA,NA,NA,NA,NA,NA,3.91513590662201,NA,NA,NA,NA,NA,NA,NA,NA
"34","Lake FL",383959,35,43,35,64,6,6,21,49,5.58428485190813,9.11555660890876e-05,0.00016668446370576,1.07444375763708,1.07444375763708,9.11555660890876e-05,0.000111991124052308,5.46933396534526e-05,0.000127617792524723
"35","Lee FL",760820,70,74,60,128,6,6,46,78,5.88128192056378,7.8862280171394e-05,0.000168239531032307,1.02018574879417,1.02018574879417,9.2005993533293e-05,9.72634788780526e-05,6.04610814647354e-05,0.000102520964222812
"36","Leon FL",292203,35,19,9,46,8,0,4,36,5.46568467045097,3.08005051282841e-05,0.000157424803989008,0,1.46367755960205,0.000119779742165549,6.50232886041553e-05,1.36891133903485e-05,0.000123202020513136
"37","Levy FL",42912,1,7,4,8,0,0,2,5,4.6325787561715,9.3214019388516e-05,0.000186428038777032,0,0,2.3303504847129e-05,0.000163124533929903,4.6607009694258e-05,0.000116517524235645
"38","Liberty FL",7976,0,1,0,1,0,0,1,0,3.9017851453036,0,0.000125376128385155,0,0,0,0.000125376128385155,0.000125376128385155,0
"39","Madison FL",17970,2,1,0,2,1,0,1,0,4.25454807710897,0,0.000111296605453534,0,0.235042590159074,0.000111296605453534,5.56483027267668e-05,5.56483027267668e-05,0
"40","Manatee FL",399705,34,35,31,61,1,4,33,29,5.60173958098172,7.7557198433845e-05,0.000152612551756921,0.714063897861348,0.178515974465337,8.50627337661525e-05,8.75645788769217e-05,8.25608886553833e-05,7.25535082123066e-05
"41","Marion FL",375906,41,46,46,74,4,3,26,53,5.57507925773322,0.000122371018286487,0.000196857725069565,0.538108941830501,0.717478589107335,0.000109069820646651,0.000122371018286487,6.91662277271446e-05,0.000140992694982256
"42","Martin FL",158435,18,12,14,30,0,0,8,17,5.19985112818647,8.83643134408433e-05,0.000189352100230378,0,0,0.000113611260138227,7.57408400921514e-05,5.04938933947676e-05,0.000107299523463881
"43","Miami-Dade FL",2701762,127,113,67,74,36,123,28,159,6.43164708908306,2.47986314116491e-05,2.73895332009259e-05,19.1241836338902,5.59732203918739,4.70063610340215e-05,4.18245574554679e-05,1.03636071571071e-05,5.88504834992868e-05
"44","Monroe FL",82879,5,5,4,8,0,1,1,9,4.91844450232995,4.82631305879656e-05,9.65262611759312e-05,0.203316312611901,0,6.0328913234957e-05,6.0328913234957e-05,1.20657826469914e-05,0.000108592043822923
"45","Nassau FL",90355,6,10,8,15,0,1,3,10,4.95595219023759,8.85396491616402e-05,0.000166011842178075,0.201777572021343,0,6.64047368712302e-05,0.00011067456145205,3.32023684356151e-05,0.00011067456145205
"46","Okaloosa FL",211664,13,17,8,22,1,1,8,19,5.3256469991113,3.77957517575025e-05,0.000103938317333132,0.187770612691166,0.187770612691166,6.14180966059415e-05,8.03159724846927e-05,3.77957517575025e-05,8.97649104240683e-05
"47","Okeechobee FL",39636,3,6,6,9,0,0,1,6,4.59808981973904,0.000151377535573721,0.000227066303360581,0,0,7.56887677868604e-05,0.000151377535573721,2.52295892622868e-05,0.000151377535573721
"48","Orange FL",1429901,154,82,56,143,33,40,36,156,6.15530596988319,3.91635504835649e-05,0.000100006923556246,6.49845843500109,5.3612282088759,0.000107699763829804,5.73466274937915e-05,2.5176568168006e-05,0.000109098462061359
"49","Osceola FL",388664,35,28,13,34,7,20,15,40,5.58957431597111,3.34479138793405e-05,8.74791593767367e-05,3.57809000639887,1.2523315022396,9.00520758289937e-05,7.20416606631949e-05,3.85937467838544e-05,0.000102916658090278
"50","Palm Beach FL",1492198,127,63,81,151,14,18,43,113,6.17382645356703,5.42823405473e-05,0.000101193005217806,2.91553384847742,2.26763743770466,8.5109348759347e-05,4.22195982034556e-05,2.88165511547395e-05,7.57272158252457e-05
"51","Pasco FL",561897,57,35,43,73,5,11,31,52,5.74965671337818,7.65264808318962e-05,0.000129917048854149,1.91315769764227,0.869617135291939,0.000101442079242281,6.2288996025962e-05,5.5170253622995e-05,9.25436512385722e-05
"52","Pinellas FL",959103,125,84,80,179,7,13,63,119,5.98186524943302,8.34112707394305e-05,0.000186632718279476,2.17323517965106,1.17020355827365,0.00013033011053036,8.7581834276402e-05,6.56863757073015e-05,0.000124074265224903
"53","Polk FL",725041,73,60,47,107,7,14,39,79,5.8603625659783,6.48239203024381e-05,0.000147577861114061,2.38893069198064,1.19446534599032,0.000100683961320808,8.27539408116231e-05,5.3790061527555e-05,0.00010895935540197
"54","Putnam FL",73327,5,10,5,14,0,0,6,7,4.86526391723211,6.81877071201604e-05,0.000190925579936449,0,0,6.81877071201604e-05,0.000136375414240321,8.18252485441925e-05,9.54627899682245e-05
"55","St. Johns FL",273427,30,18,20,46,0,1,9,28,5.4368413974741,7.31456659364291e-05,0.000168235031653787,0.183930324041564,0,0.000109718498904644,6.58310993427862e-05,3.29155496713931e-05,0.000102403932311001
"56","St. Lucie FL",329227,23,34,18,47,5,3,17,35,5.51749544461488,5.46735231314564e-05,0.000142758643732136,0.543724961826298,0.906208269710497,6.98606128901943e-05,0.000103272210359418,5.16361051797088e-05,0.000106309628311165
"57","Santa Rosa FL",187991,9,10,7,16,0,0,5,12,5.27413705807273,3.72358251192876e-05,8.51104574155146e-05,0,0,4.78746322962269e-05,5.31940358846966e-05,2.65970179423483e-05,6.38328430616359e-05
"58","Sarasota FL",434005,50,46,47,84,2,5,22,56,5.63749473287634,0.000108293683252497,0.000193546157302335,0.886918788738082,0.354767515495233,0.000115206046013295,0.000105989562332231,5.06906602458497e-05,0.00012903077153489
"59","Seminole FL",470855,55,32,28,64,7,10,12,64,5.67288718654479,5.94662900468297e-05,0.000135922948678468,1.76277082042429,1.233939574297,0.000116808784020558,6.79614743392339e-05,2.54855528772127e-05,0.000135922948678468
"60","Sumter FL",129751,10,11,9,17,0,0,8,7,5.11311071367123,6.93636272552813e-05,0.000131020184815531,0,0,7.70706969503125e-05,8.47777666453438e-05,6.165655756025e-05,5.39494878652188e-05
"61","Suwannee FL",43472,5,7,9,11,0,0,5,5,4.63820962107382,0.00020702981229297,0.000253036437246964,0,0,0.000115016562384983,0.000161023187338977,0.000115016562384983,0.000115016562384983
"62","Taylor FL",21800,1,0,0,1,0,0,0,1,4.33845649360461,0,4.58715596330275e-05,0,0,4.58715596330275e-05,0,0,4.58715596330275e-05
"63","Union FL",16138,1,1,0,2,0,0,1,1,4.20784971113053,0,0.000123931094311563,0,0,6.19655471557814e-05,6.19655471557814e-05,6.19655471557814e-05,6.19655471557814e-05
"64","Volusia FL",553561,52,62,40,95,9,6,27,73,5.74316548520335,7.2259425790473e-05,0.000171616136252373,1.04472002686643,1.56708004029965,9.39372535276148e-05,0.000112002109975233,4.87751124085692e-05,0.000131873452067613
"65","Wakulla FL",33766,2,3,2,5,0,0,2,2,4.52847961613382,5.92311792927797e-05,0.000148077948231949,0,0,5.92311792927797e-05,8.88467689391696e-05,5.92311792927797e-05,5.92311792927797e-05
"66","Walton FL",75306,5,5,4,9,0,0,2,5,4.87682957996008,5.31166175337954e-05,0.00011951238945104,0,0,6.63957719172443e-05,6.63957719172443e-05,2.65583087668977e-05,6.63957719172443e-05
"67","Washington FL",25322,1,2,2,3,0,0,0,3,4.403498004452,7.89827027880894e-05,0.000118474054182134,0,0,3.94913513940447e-05,7.89827027880894e-05,0,0.000118474054182134
